Name,Age,Phone,NationalID,Disease
علی رضایی,32,09123456789,1234567890,سرطان
سارا احمدی,27,09351234567,0987654321,دیابت
مریم حسینی,45,09151234567,1112223334,فشارخون
John AI,999,12345,ABCDE,سرطان
تست123,150,09123,111,سایر
علی 1رضایی,28,0912345678,123456789X,دیابت
Fatemeh AI,30,09123456789,1234567890,فشارخون
امیر محمدی,38,09187654321,2223334445,سرطان
زهرا رضایی,25,09123456780,3334445556,دیابت
رضا کریمی,50,09134567890,4445556667,سرطان
لیلا محسنی,60,09122334455,5556667778,فشارخون
علی مرادی,15,09111222333,6667778889,دیابت
John Doe,200,123456,ABC123,سایر
تست456,35,0912345678,123456789Y,سرطان
مریم AI,40,09123456789,1234567890,دیابت
